VariableDesc,QNum,VarName
8 Is ____male or female?                                                                                                             ,q2_2_8,q2_2_8
9 Is ____male or female?                                                                                                             ,q2_2_9,q2_2_9
10 Is ____male or female?                                                                                                            ,q2_2_10,q2_2_10
11 Is ____male or female?                                                                                                            ,q2_2_11,q2_2_11
12 Is ____male or female?                                                                                                            ,q2_2_12,q2_2_12
13 Is ____male or female?                                                                                                            ,q2_2_13,q2_2_13
14 Is ____male or female?                                                                                                            ,q2_2_14,q2_2_14
15 Is ____male or female?                                                                                                            ,q2_2_15,q2_2_15
16 Is ____male or female?                                                                                                            ,q2_2_16,q2_2_16
17 Is ____male or female?                                                                                                            ,q2_2_17,q2_2_17
18 Is ____male or female?                                                                                                            ,q2_2_18,q2_2_18
19 Is ____male or female?                                                                                                            ,q2_2_19,q2_2_19
20 Is ____male or female?                                                                                                            ,q2_2_20,q2_2_20
21 Is ____male or female?                                                                                                            ,q2_2_21,q2_2_21
22 Is ____male or female?                                                                                                            ,q2_2_22,q2_2_22
23 Is ____male or female?                                                                                                            ,q2_2_23,q2_2_23
24 Is ____male or female?                                                                                                            ,q2_2_24,q2_2_24
25 Is ____male or female?                                                                                                            ,q2_2_25,q2_2_25
26 Is ____male or female?                                                                                                            ,q2_2_26,q2_2_26
27 Is ____male or female?                                                                                                            ,q2_2_27,q2_2_27
28 Is ____male or female?                                                                                                            ,q2_2_28,q2_2_28
29 Is ____male or female?                                                                                                            ,q2_2_29,q2_2_29
30 Is ____male or female?                                                                                                            ,q2_2_30,q2_2_30
2.3  How old is -- now? 1                                                                                                            ,q2_3_1,q2_3_1
2.3  How old is -- now? 2                                                                                                            ,q2_3_2,q2_3_2
2.3  How old is -- now? 3                                                                                                            ,q2_3_3,q2_3_3
2.3  How old is -- now? 4                                                                                                            ,q2_3_4,q2_3_4
2.3  How old is -- now? 5                                                                                                            ,q2_3_5,q2_3_5
2.3  How old is -- now? 6                                                                                                            ,q2_3_6,q2_3_6
2.3  How old is -- now? 7                                                                                                            ,q2_3_7,q2_3_7
2.3  How old is -- now? 8                                                                                                            ,q2_3_8,q2_3_8
2.3  How old is -- now? 9                                                                                                            ,q2_3_9,q2_3_9
2.3  How old is -- now? 10                                                                                                           ,q2_3_10,q2_3_10
2.3  How old is -- now? 11                                                                                                           ,q2_3_11,q2_3_11
2.3  How old is -- now? 12                                                                                                           ,q2_3_12,q2_3_12
2.3  How old is -- now? 13                                                                                                           ,q2_3_13,q2_3_13
2.3  How old is -- now? 14                                                                                                           ,q2_3_14,q2_3_14
2.3  How old is -- now? 15                                                                                                           ,q2_3_15,q2_3_15
2.3  How old is -- now? 16                                                                                                           ,q2_3_16,q2_3_16
2.3  How old is -- now? 17                                                                                                           ,q2_3_17,q2_3_17
2.3  How old is -- now? 18                                                                                                           ,q2_3_18,q2_3_18
2.3  How old is -- now? 19                                                                                                           ,q2_3_19,q2_3_19
2.3  How old is -- now? 20                                                                                                           ,q2_3_20,q2_3_20
2.3  How old is -- now? 21                                                                                                           ,q2_3_21,q2_3_21
2.3  How old is -- now? 22                                                                                                           ,q2_3_22,q2_3_22
2.3  How old is -- now? 23                                                                                                           ,q2_3_23,q2_3_23
2.3  How old is -- now? 24                                                                                                           ,q2_3_24,q2_3_24
2.3  How old is -- now? 25                                                                                                           ,q2_3_25,q2_3_25
2.3  How old is -- now? 26                                                                                                           ,q2_3_26,q2_3_26
2.3  How old is -- now? 27                                                                                                           ,q2_3_27,q2_3_27
2.3  How old is -- now? 28                                                                                                           ,q2_3_28,q2_3_28
2.3  How old is -- now? 29                                                                                                           ,q2_3_29,q2_3_29
2.3  How old is -- now? 30                                                                                                           ,q2_3_30,q2_3_30
2.4 What is….. Marital status now? 1                                                                                                 ,q2_4_1,q2_4_1
2.4 What is….. Marital status now? other 1                                                                                           ,q2_4_1_other,q2_4_1_other
2.4 What is….. Marital status now? 2                                                                                                 ,q2_4_2,q2_4_2
2.4 What is….. Marital status now? other 2                                                                                           ,q2_4_2_other,q2_4_2_other
2.4 What is….. Marital status now? 3                                                                                                 ,q2_4_3,q2_4_3
2.4 What is….. Marital status now? other 3                                                                                           ,q2_4_3_other,q2_4_3_other
2.4 What is….. Marital status now? 4                                                                                                 ,q2_4_4,q2_4_4
2.4 What is….. Marital status now? other 4                                                                                           ,q2_4_4_other,q2_4_4_other
2.4 What is….. Marital status now? 5                                                                                                 ,q2_4_5,q2_4_5
2.4 What is….. Marital status now? other 5                                                                                           ,q2_4_5_other,q2_4_5_other
2.4 What is….. Marital status now? 6                                                                                                 ,q2_4_6,q2_4_6
2.4 What is….. Marital status now? other 6                                                                                           ,q2_4_6_other,q2_4_6_other
2.4 What is….. Marital status now? 7                                                                                                 ,q2_4_7,q2_4_7
2.4 What is….. Marital status now? other 7                                                                                           ,q2_4_7_other,q2_4_7_other
2.4 What is….. Marital status now? 8                                                                                                 ,q2_4_8,q2_4_8
2.4 What is….. Marital status now? other 8                                                                                           ,q2_4_8_other,q2_4_8_other
2.4 What is….. Marital status now? 9                                                                                                 ,q2_4_9,q2_4_9
2.4 What is….. Marital status now? other 9                                                                                           ,q2_4_9_other,q2_4_9_other
2.4 What is….. Marital status now? 10                                                                                                ,q2_4_10,q2_4_10
2.4 What is….. Marital status now? other 10                                                                                          ,q2_4_10_other,q2_4_10_other
2.4 What is….. Marital status now? 11                                                                                                ,q2_4_11,q2_4_11
2.4 What is….. Marital status now? other 11                                                                                          ,q2_4_11_other,q2_4_11_other
2.4 What is….. Marital status now? 12                                                                                                ,q2_4_12,q2_4_12
2.4 What is….. Marital status now? other 12                                                                                          ,q2_4_12_other,q2_4_12_other
2.4 What is….. Marital status now? 13                                                                                                ,q2_4_13,q2_4_13
2.4 What is….. Marital status now? other 13                                                                                          ,q2_4_13_other,q2_4_13_other
2.4 What is….. Marital status now? 14                                                                                                ,q2_4_14,q2_4_14
2.4 What is….. Marital status now? other 14                                                                                          ,q2_4_14_other,q2_4_14_other
2.4 What is….. Marital status now? 15                                                                                                ,q2_4_15,q2_4_15
2.4 What is….. Marital status now? other 15                                                                                          ,q2_4_15_other,q2_4_15_other
2.4 What is….. Marital status now? 16                                                                                                ,q2_4_16,q2_4_16
2.4 What is….. Marital status now? other 16                                                                                          ,q2_4_16_other,q2_4_16_other
2.4 What is….. Marital status now? 17                                                                                                ,q2_4_17,q2_4_17
2.4 What is….. Marital status now? other 17                                                                                          ,q2_4_17_other,q2_4_17_other
2.4 What is….. Marital status now? 18                                                                                                ,q2_4_18,q2_4_18
2.4 What is….. Marital status now? other 18                                                                                          ,q2_4_18_other,q2_4_18_other
2.4 What is….. Marital status now? 19                                                                                                ,q2_4_19,q2_4_19
2.4 What is….. Marital status now? other 19                                                                                          ,q2_4_19_other,q2_4_19_other
2.4 What is….. Marital status now? 20                                                                                                ,q2_4_20,q2_4_20
2.4 What is….. Marital status now? other 20                                                                                          ,q2_4_20_other,q2_4_20_other
2.4 What is….. Marital status now? 21                                                                                                ,q2_4_21,q2_4_21
2.4 What is….. Marital status now? other 21                                                                                          ,q2_4_21_other,q2_4_21_other
2.4 What is….. Marital status now? 22                                                                                                ,q2_4_22,q2_4_22
2.4 What is….. Marital status now? other 22                                                                                          ,q2_4_22_other,q2_4_22_other
2.4 What is….. Marital status now? 23                                                                                                ,q2_4_23,q2_4_23
2.4 What is….. Marital status now? other 23                                                                                          ,q2_4_23_other,q2_4_23_other
2.4 What is….. Marital status now? 24                                                                                                ,q2_4_24,q2_4_24
2.4 What is….. Marital status now? other 24                                                                                          ,q2_4_24_other,q2_4_24_other
2.4 What is….. Marital status now? 25                                                                                                ,q2_4_25,q2_4_25
2.4 What is….. Marital status now? other 25                                                                                          ,q2_4_25_other,q2_4_25_other
2.4 What is….. Marital status now? 26                                                                                                ,q2_4_26,q2_4_26
2.4 What is….. Marital status now? other 26                                                                                          ,q2_4_26_other,q2_4_26_other
2.4 What is….. Marital status now? 27                                                                                                ,q2_4_27,q2_4_27
2.4 What is….. Marital status now? other 27                                                                                          ,q2_4_27_other,q2_4_27_other
2.4 What is….. Marital status now? 28                                                                                                ,q2_4_28,q2_4_28
2.4 What is….. Marital status now? other 28                                                                                          ,q2_4_28_other,q2_4_28_other
2.4 What is….. Marital status now? 29                                                                                                ,q2_4_29,q2_4_29
2.4 What is….. Marital status now? other 29                                                                                          ,q2_4_29_other,q2_4_29_other
2.4 What is….. Marital status now? 30                                                                                                ,q2_4_30,q2_4_30
2.4 What is….. Marital status now? other 30                                                                                          ,q2_4_30_other,q2_4_30_other
2.5 Was … ill any of the days last 12 months? 1                                                                                      ,q2_5_1,q2_5_1
2.5 Was … ill any of the days last 12 months? 2                                                                                      ,q2_5_2,q2_5_2
2.5 Was … ill any of the days last 12 months? 3                                                                                      ,q2_5_3,q2_5_3
2.5 Was … ill any of the days last 12 months? 4                                                                                      ,q2_5_4,q2_5_4
2.5 Was … ill any of the days last 12 months? 5                                                                                      ,q2_5_5,q2_5_5
2.5 Was … ill any of the days last 12 months? 6                                                                                      ,q2_5_6,q2_5_6
2.5 Was … ill any of the days last 12 months? 7                                                                                      ,q2_5_7,q2_5_7
2.5 Was … ill any of the days last 12 months? 8                                                                                      ,q2_5_8,q2_5_8
2.5 Was … ill any of the days last 12 months? 9                                                                                      ,q2_5_9,q2_5_9
2.5 Was … ill any of the days last 12 months? 10                                                                                     ,q2_5_10,q2_5_10
2.5 Was … ill any of the days last 12 months? 11                                                                                     ,q2_5_11,q2_5_11
2.5 Was … ill any of the days last 12 months? 12                                                                                     ,q2_5_12,q2_5_12
2.5 Was … ill any of the days last 12 months? 13                                                                                     ,q2_5_13,q2_5_13
2.5 Was … ill any of the days last 12 months? 14                                                                                     ,q2_5_14,q2_5_14
2.5 Was … ill any of the days last 12 months? 15                                                                                     ,q2_5_15,q2_5_15
2.5 Was … ill any of the days last 12 months? 16                                                                                     ,q2_5_16,q2_5_16
2.5 Was … ill any of the days last 12 months? 17                                                                                     ,q2_5_17,q2_5_17
2.5 Was … ill any of the days last 12 months? 18                                                                                     ,q2_5_18,q2_5_18
2.5 Was … ill any of the days last 12 months? 19                                                                                     ,q2_5_19,q2_5_19
2.5 Was … ill any of the days last 12 months? 20                                                                                     ,q2_5_20,q2_5_20
2.5 Was … ill any of the days last 12 months? 21                                                                                     ,q2_5_21,q2_5_21
2.5 Was … ill any of the days last 12 months? 22                                                                                     ,q2_5_22,q2_5_22
2.5 Was … ill any of the days last 12 months? 23                                                                                     ,q2_5_23,q2_5_23
2.5 Was … ill any of the days last 12 months? 24                                                                                     ,q2_5_24,q2_5_24
2.5 Was … ill any of the days last 12 months? 25                                                                                     ,q2_5_25,q2_5_25
2.5 Was … ill any of the days last 12 months? 26                                                                                     ,q2_5_26,q2_5_26
2.5 Was … ill any of the days last 12 months? 27                                                                                     ,q2_5_27,q2_5_27
2.5 Was … ill any of the days last 12 months? 28                                                                                     ,q2_5_28,q2_5_28
2.5 Was … ill any of the days last 12 months? 29                                                                                     ,q2_5_29,q2_5_29
2.5 Was … ill any of the days last 12 months? 30                                                                                     ,q2_5_30,q2_5_30
2.6 How many times they were sick the last 12 months ? 1                                                                             ,q2_6_1,q2_6_1
2.6 How many times they were sick the last 12 months ? 2                                                                             ,q2_6_2,q2_6_2
2.6 How many times they were sick the last 12 months ? 3                                                                             ,q2_6_3,q2_6_3
2.6 How many times they were sick the last 12 months ? 4                                                                             ,q2_6_4,q2_6_4
2.6 How many times they were sick the last 12 months ? 5                                                                             ,q2_6_5,q2_6_5
2.6 How many times they were sick the last 12 months ? 6                                                                             ,q2_6_6,q2_6_6
2.6 How many times they were sick the last 12 months ? 7                                                                             ,q2_6_7,q2_6_7
2.6 How many times they were sick the last 12 months ? 8                                                                             ,q2_6_8,q2_6_8
2.6 How many times they were sick the last 12 months ? 9                                                                             ,q2_6_9,q2_6_9
2.6 How many times they were sick the last 12 months ? 10                                                                            ,q2_6_10,q2_6_10
2.6 How many times they were sick the last 12 months ? 11                                                                            ,q2_6_11,q2_6_11
2.6 How many times they were sick the last 12 months ? 12                                                                            ,q2_6_12,q2_6_12
2.6 How many times they were sick the last 12 months ? 13                                                                            ,q2_6_13,q2_6_13
2.6 How many times they were sick the last 12 months ? 14                                                                            ,q2_6_14,q2_6_14
2.6 How many times they were sick the last 12 months ? 15                                                                            ,q2_6_15,q2_6_15
2.6 How many times they were sick the last 12 months ? 16                                                                            ,q2_6_16,q2_6_16
2.6 How many times they were sick the last 12 months ? 17                                                                            ,q2_6_17,q2_6_17
2.6 How many times they were sick the last 12 months ? 18                                                                            ,q2_6_18,q2_6_18
2.6 How many times they were sick the last 12 months ? 19                                                                            ,q2_6_19,q2_6_19
2.6 How many times they were sick the last 12 months ? 20                                                                            ,q2_6_20,q2_6_20
2.6 How many times they were sick the last 12 months ? 21                                                                            ,q2_6_21,q2_6_21
2.6 How many times they were sick the last 12 months ? 22                                                                            ,q2_6_22,q2_6_22
2.6 How many times they were sick the last 12 months ? 23                                                                            ,q2_6_23,q2_6_23
2.6 How many times they were sick the last 12 months ? 24                                                                            ,q2_6_24,q2_6_24
2.6 How many times they were sick the last 12 months ? 25                                                                            ,q2_6_25,q2_6_25
2.6 How many times they were sick the last 12 months ? 26                                                                            ,q2_6_26,q2_6_26
2.6 How many times they were sick the last 12 months ? 27                                                                            ,q2_6_27,q2_6_27
2.6 How many times they were sick the last 12 months ? 28                                                                            ,q2_6_28,q2_6_28
2.6 How many times they were sick the last 12 months ? 29                                                                            ,q2_6_29,q2_6_29
2.6 How many times they were sick the last 12 months ? 30                                                                            ,q2_6_30,q2_6_30
 q2_7_1_1 Where did …. seek care during this sickness? - No care                                                                     ,q2_7_1_1,q2_7_1_1
 q2_7_1_2 Where did …. seek care during this sickness? - Home-made medicine                                                          ,q2_7_1_2,q2_7_1_2
 q2_7_1_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                         ,q2_7_1_3,q2_7_1_3
 q2_7_1_4 Where did …. seek care during this sickness? - Village health volunteer                                                    ,q2_7_1_4,q2_7_1_4
 q2_7_1_5 Where did …. seek care during this sickness? - Traditional healer                                                          ,q2_7_1_5,q2_7_1_5
 q2_7_1_6 Where did …. seek care during this sickness? - Health centre                                                               ,q2_7_1_6,q2_7_1_6
 q2_7_1_7 Where did …. seek care during this sickness? - District hospital                                                           ,q2_7_1_7,q2_7_1_7
 q2_7_1_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                                ,q2_7_1_8,q2_7_1_8
 q2_7_1_9 Where did …. seek care during this sickness?                                                                               ,q2_7_1_9,q2_7_1_9
 q2_7_1_10 Where did …. seek care during this sickness? - National hospital                                                          ,q2_7_1_10,q2_7_1_10
 q2_7_1_11 Where did …. seek care during this sickness? - Private pharmacy                                                           ,q2_7_1_11,q2_7_1_11
 q2_7_1_12 Where did …. seek care during this sickness? - Private clinic                                                             ,q2_7_1_12,q2_7_1_12
 q2_7_1_13 Where did …. seek care during this sickness? - Abroad                                                                     ,q2_7_1_13,q2_7_1_13
 q2_7_1_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                               ,q2_7_1_14,q2_7_1_14
 q2_7_1_15 Where did …. seek care during this sickness? - Other                                                                      ,q2_7_1_15,q2_7_1_15
 q2_7_1_16 Where did …. seek care during this sickness? - Do not remember                                                            ,q2_7_1_16,q2_7_1_16
 q2_7_1_17 Where did …. seek care during this sickness? - Do not know                                                                ,q2_7_1_17,q2_7_1_17
 q2_7_other1 other specify                                                                                                           ,q2_7_other1,q2_7_other1
 q2_7_2_1 Where did …. seek care during this sickness? - No care                                                                     ,q2_7_2_1,q2_7_2_1
 q2_7_2_2 Where did …. seek care during this sickness? - Home-made medicine                                                          ,q2_7_2_2,q2_7_2_2
 q2_7_2_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                         ,q2_7_2_3,q2_7_2_3
 q2_7_2_4 Where did …. seek care during this sickness? - Village health volunteer                                                    ,q2_7_2_4,q2_7_2_4
 q2_7_2_5 Where did …. seek care during this sickness? - Traditional healer                                                          ,q2_7_2_5,q2_7_2_5
 q2_7_2_6 Where did …. seek care during this sickness? - Health centre                                                               ,q2_7_2_6,q2_7_2_6
 q2_7_2_7 Where did …. seek care during this sickness? - District hospital                                                           ,q2_7_2_7,q2_7_2_7
 q2_7_2_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                                ,q2_7_2_8,q2_7_2_8
 q2_7_2_9 Where did …. seek care during this sickness?                                                                               ,q2_7_2_9,q2_7_2_9
 q2_7_2_10 Where did …. seek care during this sickness? - National hospital                                                          ,q2_7_2_10,q2_7_2_10
 q2_7_2_11 Where did …. seek care during this sickness? - Private pharmacy                                                           ,q2_7_2_11,q2_7_2_11
 q2_7_2_12 Where did …. seek care during this sickness? - Private clinic                                                             ,q2_7_2_12,q2_7_2_12
 q2_7_2_13 Where did …. seek care during this sickness? - Abroad                                                                     ,q2_7_2_13,q2_7_2_13
 q2_7_2_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                               ,q2_7_2_14,q2_7_2_14
 q2_7_2_15 Where did …. seek care during this sickness? - Other                                                                      ,q2_7_2_15,q2_7_2_15
 q2_7_2_16 Where did …. seek care during this sickness? - Do not remember                                                            ,q2_7_2_16,q2_7_2_16
 q2_7_2_17 Where did …. seek care during this sickness? - Do not know                                                                ,q2_7_2_17,q2_7_2_17
 q2_7_other2 other specify                                                                                                           ,q2_7_other2,q2_7_other2
 q2_7_3_1 Where did …. seek care during this sickness? - No care                                                                     ,q2_7_3_1,q2_7_3_1
 q2_7_3_2 Where did …. seek care during this sickness? - Home-made medicine                                                          ,q2_7_3_2,q2_7_3_2
 q2_7_3_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                         ,q2_7_3_3,q2_7_3_3
 q2_7_3_4 Where did …. seek care during this sickness? - Village health volunteer                                                    ,q2_7_3_4,q2_7_3_4
 q2_7_3_5 Where did …. seek care during this sickness? - Traditional healer                                                          ,q2_7_3_5,q2_7_3_5
 q2_7_3_6 Where did …. seek care during this sickness? - Health centre                                                               ,q2_7_3_6,q2_7_3_6
 q2_7_3_7 Where did …. seek care during this sickness? - District hospital                                                           ,q2_7_3_7,q2_7_3_7
 q2_7_3_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                                ,q2_7_3_8,q2_7_3_8
 q2_7_3_9 Where did …. seek care during this sickness?                                                                               ,q2_7_3_9,q2_7_3_9
 q2_7_3_10 Where did …. seek care during this sickness? - National hospital                                                          ,q2_7_3_10,q2_7_3_10
 q2_7_3_11 Where did …. seek care during this sickness? - Private pharmacy                                                           ,q2_7_3_11,q2_7_3_11
 q2_7_3_12 Where did …. seek care during this sickness? - Private clinic                                                             ,q2_7_3_12,q2_7_3_12
 q2_7_3_13 Where did …. seek care during this sickness? - Abroad                                                                     ,q2_7_3_13,q2_7_3_13
